# Frequency (Hz)   chi_square
2.000000000000000000e+04,8.669117229931926000e+15
2.100000000000000000e+04,8.991083680049041000e+15
2.200000000000000000e+04,7.151722128098881000e+15
2.300000000000000000e+04,1.444672908559449000e+16
2.400000000000000000e+04,1.467026640397330600e+16
2.500000000000000000e+04,1.145100730548360600e+16
2.600000000000000000e+04,1.199409482017474000e+16
2.700000000000000000e+04,1.294821722373792600e+16
2.800000000000000000e+04,1.171740596161554400e+16
2.900000000000000000e+04,2.664935593983945600e+16
3.000000000000000000e+04,2.436349771024592000e+16
3.100000000000000000e+04,1.330060961190467400e+16
3.200000000000000000e+04,3.536813912529184400e+16
3.300000000000000000e+04,5.710222134992302400e+16
3.400000000000000000e+04,5.853383447327411200e+16
3.500000000000000000e+04,4.132354490505831200e+16
3.600000000000000000e+04,1.468901543747972800e+17
3.700000000000000000e+04,1.687959860008001920e+17
3.800000000000000000e+04,2.653719270901576000e+17
3.900000000000000000e+04,1.018518527003609600e+18
4.000000000000000000e+04,5.533526671916006113e+20
4.100000000000000000e+04,1.518805807276216576e+18
4.200000000000000000e+04,3.696807376301655040e+17
4.300000000000000000e+04,1.847507092366558080e+17
4.400000000000000000e+04,9.897228674535486400e+16
4.500000000000000000e+04,4.729719214880060800e+16
4.600000000000000000e+04,5.086858261521940800e+16
4.700000000000000000e+04,1.565295506740602400e+16
4.800000000000000000e+04,2.417865073071709600e+16
4.900000000000000000e+04,1.118514402805887800e+16
5.000000000000000000e+04,8.721071102423390000e+15
5.100000000000000000e+04,9.709603527886178000e+15
5.200000000000000000e+04,4.838472881303149000e+15
5.300000000000000000e+04,8.158606701501129000e+15
5.400000000000000000e+04,4.117595627849573000e+15
5.500000000000000000e+04,5.259298697053585000e+15
5.600000000000000000e+04,3.543415532675041000e+15
5.700000000000000000e+04,1.956028263952532750e+15
5.800000000000000000e+04,2.885693019405249000e+15
5.900000000000000000e+04,2.435807213797987500e+15
6.000000000000000000e+04,1.013191647684524875e+15
6.100000000000000000e+04,9.159060708607193750e+14
6.200000000000000000e+04,7.215492143097881250e+14
6.300000000000000000e+04,7.082105847206385000e+14
6.400000000000000000e+04,1.350021418537779250e+15
6.500000000000000000e+04,1.636083034514470000e+15
6.600000000000000000e+04,1.611075498930654500e+15
6.700000000000000000e+04,9.866218645714436250e+14
6.800000000000000000e+04,8.035801271106132500e+14
6.900000000000000000e+04,4.311144761618462500e+14
7.000000000000000000e+04,4.089890740722610000e+14
